# Resolved pools list by minerstat for msOS
# Updated Mon Dec 19 14:00:37 UTC 2022
# ip,fqdn
52.224.9.152 eth-us1.hellominer.com
51.195.88.15 eth.2miners.com
141.95.3.13 eth.altpool.pro
45.43.30.3 eth.digipools.org
31.13.94.10 eth.easy2mine.com
35.183.200.119 eth.ethashpool.com
172.65.209.222 eth.f2pool.com
138.201.198.155 eth.hashcity.org
34.90.112.127 eth.hiveon.net
116.202.234.220 eth.kryptex.network
82.64.110.249 eth.miningfrance.io
81.91.189.51 eth.pool-moscow.ru
94.130.102.210 eth.pool.minergate.com
95.217.117.31 eth.pool.zet-tech.eu
172.65.223.165 eth.ss.poolin.com
18.142.208.193 eth.ukrpool.com
172.65.217.224 eth.viabtc.top
138.68.130.227 ethash-eu.unmineable.com
174.138.53.224 ethash-us.unmineable.com
51.79.251.11 ethash.asia.mine.zergpool.com
141.95.55.97 ethash.eu.mine.zergpool.com
103.249.70.7 ethash.mine.zergpool.com
149.56.111.148 ethash.na.mine.zergpool.com
13.248.162.234 ethash.poolbinance.com
138.68.130.227 ethash.tron-mining.com
138.68.130.227 ethash.unmineable.com
149.56.143.200 ether1-solo.wattpool.net
142.44.216.170 ether1.weeminepool.com
18.158.132.28 ethereum.trustpool.ru
172.67.147.102 ethermine.org
199.59.243.222 etho-eu.upool.in
199.59.243.222 etho-us.upool.in
159.69.56.113 etho.pool.sexy
199.59.243.222 etho.upool.in
172.65.209.222 ethv2-eu.f2pool.com
176.9.119.47 etnx.pool-pay.com
162.19.139.119 etp.2miners.com
52.31.129.74 etp.dodopool.com
82.192.82.225 etp.sandpool.org
188.166.37.58 eu-01.miningrigrentals.com
76.223.24.27 eu-bch.ss.btc.com
188.166.161.62 eu-de01.miningrigrentals.com
165.227.153.169 eu-de02.miningrigrentals.com
172.65.222.14 eu-etc.hiveon.net
34.90.112.127 eu-eth.hiveon.net
104.237.10.164 eu-mine.smartcash.cc
3.127.21.66 eu-pool.wienchain.com
91.210.105.199 eu-ru01.miningrigrentals.com
78.46.178.183 eu-solo-zel.zellabs.net
52.47.82.227 eu-west-stratum.grinmint.com
65.108.45.36 eu-xsg.equihub.pro
65.108.45.36 eu-zcl.equihub.pro
65.108.45.36 eu-zel.equihub.pro
95.216.172.217 eu-zel.zellabs.net
65.108.45.36 eu-zer.equihub.pro
65.108.45.36 eu-zero.equihub.pro
52.49.70.187 eu-zil.rustpool.xyz
168.119.146.54 eu.aionpool.tech
54.37.167.74 eu.altpool.eu
182.61.201.92 eu.anyhash.net
51.89.118.72 eu.blockmasters.co
77.87.212.10 eu.bsod.pw
103.224.212.219 eu.btcprivate.pro
37.187.226.146 eu.btgpool.pro
136.244.95.32 eu.crazypool.org
74.220.199.6 eu.daxminer.com
95.217.21.174 eu.emcd.io
65.108.45.36 eu.equihub.pro
51.195.105.62 eu.etc.ezil.me
141.95.3.13 eu.eth.k1pool.com
141.95.3.13 eu.ethsolo.k1pool.com
103.224.212.219 eu.expmine.pro
141.95.97.239 eu.ezil.me
51.91.56.176 eu.frostypool.com
103.224.212.220 eu.gethash.cc
217.107.104.150 eu.gos.cx
79.137.70.48 eu.luckpool.net
194.163.137.179 eu.mecrypto.club
3.72.164.123 eu.nimpool.io
68.183.74.40 eu.pool.ms
64.225.91.73 eu.poolmine.xyz
5.75.173.90 eu.ravenminer.com
178.21.10.83 eu.rig.tokyo
149.28.243.131 eu.rito.minermore.com
136.244.92.193 eu.rvn.minermore.com
54.38.69.101 eu.rvnsolo.k1pool.com
68.183.74.40 eu.sandbox.pool.ms
172.104.151.182 eu.siamining.com
172.65.222.110 eu.ss.btc.com
39.106.232.84 eu.ss.dpool.top
188.166.16.158 eu.stratum.slushpool.com
34.98.99.30 eu.tellorpool.org
46.101.181.185 eu.ubiqpool.io
34.102.152.90 eu1-beam.flypool.org
51.195.60.75 eu1-etc.ethermine.org
75.2.55.61 eu1-zil.shardpool.io
77.87.212.10 eu1.bsod.pw
65.108.45.36 eu1.equihub.pro
103.153.74.103 eu1.ethermine.ga
172.65.212.80 eu1.ethpool.org
185.107.56.55 eu1.fairpool.pro
52.232.17.180 eu1.hellominer.com
18.192.32.74 eu1.ltc.sigmapool.com
77.239.54.198 eu1.mastermining.net
51.89.116.97 eu1.whalesburg.com
161.97.153.203 eu1.zhash.pro
18.202.2.148 eu2-zil.rustpool.xyz
94.130.104.62 eu2.emcd.io
141.95.103.64 eu2.whalesburg.com
167.86.70.134 eupool.sinovate.io
130.185.249.132 eurocdy.pool.awmlite.com
66.42.40.195 europe.cryptonight-hub.miningpoolhub.com
51.89.118.3 europe.dgb256.online
66.42.40.195 europe.equihash-hub.miningpoolhub.com
45.77.150.66 europe.ethash-hub.miningpoolhub.com
45.77.150.66 europe.kawpow-hub.miningpoolhub.com
66.42.40.195 europe.lyra2z-hub.miningpoolhub.com
66.42.40.195 europe.randomx-hub.miningpoolhub.com
127.0.0.1 exp-eu.dwarfpool.com
162.19.139.119 exp.2miners.com
104.22.64.111 ezil.me
104.18.3.198 f2pool.com
88.156.253.31 fastepic.eu
213.91.128.133 fastpool.xyz
135.125.238.206 fed.cryptonote.club
141.95.126.31 fi.haven.herominers.com
